ID,COMPANY,CALS,WEIGHT
1105904,Richardson Oilseed Products (US) Limited,867,15
1105905,CAMPBELL SOUP COMPANY,4,240
1105906,CAMPBELL SOUP COMPANY,82,440
1105907,CAMPBELL SOUP COMPANY,82,440
1105908,CAMPBELL SOUP COMPANY,4,240
1105909,CAMPBELL SOUP COMPANY,61,412
1105910,CAMPBELL SOUP COMPANY,4,411
1105911,CAMPBELL SOUP COMPANY,58,120
1105912,CAMPBELL SOUP COMPANY,75,120
1105913,CAMPBELL SOUP COMPANY,87,443
1105914,Bush Brothers And Company,125,130
1105915,Bush Brothers And Company,105,130
1105916,Bush Brothers And Company,129,130
1105917,PEPPERIDGE FARM,263,57
1105918,CAMPBELL SOUP COMPANY,360,50
1105919,CAMPBELL SOUP COMPANY,4,240
1105920,PEPPERIDGE FARM,464,28
1105921,PEPPERIDGE FARM,246,57
1105922,PEPPERIDGE FARM,467,30
1105923,PEPPERIDGE FARM,253,91
1105924,CAMPBELL SOUP COMPANY,281,89
1105925,PEPPERIDGE FARM,263,57
1105926,PEPPERIDGE FARM,263,57
1105927,CAMPBELL SOUP COMPANY,333,45
1105928,PEPPERIDGE FARM,467,30
1105929,PEPPERIDGE FARM,481,27
1105930,CAMPBELL SOUP COMPANY,4,240
1105931,PEPPERIDGE FARM,263,99
1105932,PEPPERIDGE FARM,419,31
1105933,CAMPBELL SOUP COMPANY,4,240
1105934,CAMPBELL SOUP COMPANY,258,89
1105935,PEPPERIDGE FARM,406,32
1105936,PEPPERIDGE FARM,246,57
1105937,PEPPERIDGE FARM,500,30
1105938,CAMPBELL SOUP COMPANY,4,240
1105939,PEPPERIDGE FARM,246,57
1105940,PEPPERIDGE FARM,467,30
1105941,PEPPERIDGE FARM,517,29
1105942,CAMPBELL SOUP COMPANY,4,411
1105943,PEPPERIDGE FARM,246,57
1105944,PEPPERIDGE FARM,263,57
1105945,PEPPERIDGE FARM,500,30
1105946,CAMPBELL SOUP COMPANY,4,240
1105947,CAMPBELL SOUP COMPANY,366,41
1105948,PEPPERIDGE FARM,246,57
1105949,PEPPERIDGE FARM,246,57
1105950,Bush Brothers And Company,95,130
1105951,PEPPERIDGE FARM,464,28
1105952,PEPPERIDGE FARM,524,21
1105953,Bush Brothers And Company,83,130
1105954,WELCH FOODS INC.,51,295
1105955,WELCH FOODS INC.,42,473
1105956,WELCH FOODS INC.,62,340
1105957,WELCH FOODS INC.,49,162
1105958,WELCH FOODS INC.,62,162
1105959,WELCH FOODS INC.,41,340
1105960,WELCH FOODS INC.,58,295
1105961,WELCH FOODS INC.,47,295
1105962,WELCH FOODS INC.,41,295
1105963,WELCH FOODS INC.,41,295
1105964,WELCH FOODS INC.,43,162
1105965,WELCH FOODS INC.,50,340
1105966,WELCH FOODS INC.,44,295
1105967,WELCH FOODS INC.,41,295
1105968,WELCH FOODS INC.,44,340
1105969,Seaboard Foods LLC,54,112
1105970,Seaboard Foods LLC,152,112
1105971,Seaboard Foods LLC,54,112
1105972,Seaboard Foods LLC,71,112
1105973,Seaboard Foods LLC,18,112
1105974,Seaboard Foods LLC,98,112
1105975,Seaboard Foods LLC,80,112
1105976,Seaboard Foods LLC,71,112
1105977,Seaboard Foods LLC,143,112
1105978,Seaboard Foods LLC,54,112
1105979,Seaboard Foods LLC,54,112
1105980,Seaboard Foods LLC,143,112
1105981,Seaboard Foods LLC,54,112
1105982,Seaboard Foods LLC,71,112
1105983,Seaboard Foods LLC,22,112
1105984,Seaboard Foods LLC,71,112
1105985,Seaboard Foods LLC,205,112
1105986,Seaboard Foods LLC,18,112
1105987,Seaboard Foods LLC,54,112
1105988,Seaboard Foods LLC,54,112
1105989,Seaboard Foods LLC,18,112
1105990,Seaboard Foods LLC,80,112
1105991,Seaboard Foods LLC,71,112
1105992,Seaboard Foods LLC,143,112
1105993,Seaboard Foods LLC,143,112
1105994,Seaboard Foods LLC,71,112
1105995,Seaboard Foods LLC,54,112
1105996,Seaboard Foods LLC,54,112
1105997,Seaboard Foods LLC,18,112
1105998,Seaboard Foods LLC,54,112
1105999,Seaboard Foods LLC,80,112
1106000,Seaboard Foods LLC,71,112
1106001,Seaboard Foods LLC,71,112
1106002,Seaboard Foods LLC,71,112
1106003,Seaboard Foods LLC,143,112
1106004,Seaboard Foods LLC,161,112
1106005,Seaboard Foods LLC,54,112
1106006,Seaboard Foods LLC,223,112
1106007,Seaboard Foods LLC,18,112
1106008,Seaboard Foods LLC,98,112
1106009,Daily's Premium Meats LLC,294,17
1106010,Seaboard Foods LLC,152,112
1106011,Seaboard Foods LLC,152,112
1106012,Seaboard Foods LLC,143,112
1106013,CAMPBELL SOUP COMPANY,71,240
1106014,CAMPBELL SOUP COMPANY,46,240
1106015,BRAKEBUSH BROTHERS INC.,205,122
1106016,BRAKEBUSH BROTHERS INC.,176,85
1106017,BRAKEBUSH BROTHERS INC.,188,85
1106018,BRAKEBUSH BROTHERS INC.,178,73
1106019,BRAKEBUSH BROTHERS INC.,216,74
1106020,BRAKEBUSH BROTHERS INC.,220,100
1106021,BRAKEBUSH BROTHERS INC.,260,73
1106022,BRAKEBUSH BROTHERS INC.,254,114
1106023,BRAKEBUSH BROTHERS INC.,213,89
1106024,BRAKEBUSH BROTHERS INC.,176,85
1106025,BRAKEBUSH BROTHERS INC.,208,125
1106026,BRAKEBUSH BROTHERS INC.,222,99
1106027,BRAKEBUSH BROTHERS INC.,234,128
1106028,BRAKEBUSH BROTHERS INC.,200,150
1106029,BRAKEBUSH BROTHERS INC.,176,85
1106030,BRAKEBUSH BROTHERS INC.,200,71
1106031,BRAKEBUSH BROTHERS INC.,208,125
